n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,delta_days,n_monotone
448,0.011160714285714286,0.009695052239163678,0.32550790067720087,0.8686766806290654,0.013133016401647197,0.015229411607526867,,,,0,5,0.009695052239163678,0.011160714285714286,0.8686766806290654,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,815,448,0.05276073619631902,0.011160714285714286,112,79,halo,,,221,0,7,19.0
494,0.008097165991902834,0.0072126750670185895,0.325,0.8907653707767957,0.008243431584653366,0.00856594882882852,0.0043977215614005695,0.0040650406504065045,1.0818395041045399,2,2,0.0072126750670185895,0.008097165991902834,0.8907653707767957,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,1176,494,0.050170068027210885,0.008097165991902834,162,116,halo,,,221,0,7,19.0
512,0.01953125,0.04764421583184521,0.7147410358565738,2.439383850590475,0.02003046399828307,0.02106483148754371,0.020707070707070705,0.005940594059405941,3.4856902356902353,3,7,0.04764421583184521,0.01953125,2.439383850590475,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1682,512,0.03745541022592152,0.01953125,168,98,halo,,,221,0,7,19.0
367,0.04632152588555858,0.06273701699808651,0.5121008403361345,1.35438148460575,0.044719445451398936,0.020417083463481235,0.047723132969034604,0.0084985835694051,5.615421979356404,3,14,0.06273701699808651,0.04632152588555858,1.35438148460575,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,lightgbm,False,0.0,221,0,30,
448,0.011160714285714286,0.009209846114619743,0.3142212189616253,0.8252022118699289,0.023201030554873735,0.07153712689623064,,,,0,5,0.009209846114619743,0.011160714285714286,0.8252022118699289,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,lightgbm,False,0.0,221,0,30,
494,0.008097165991902834,0.013273962489618766,0.5928571428571429,1.6393343674679175,0.008317737904935485,0.005899957893090484,0.012273053033922598,0.0040650406504065045,3.019171046344959,2,2,0.013273962489618766,0.008097165991902834,1.6393343674679175,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,lightgbm,False,0.0,221,0,30,
512,0.01953125,0.04760885927003975,0.6719123505976096,2.437573594626035,0.019317553429180928,0.01375244183341919,0.01627906976744186,0.005940594059405941,2.74031007751938,3,7,0.04760885927003975,0.01953125,2.437573594626035,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,lightgbm,False,0.0,221,0,30,
367,0.04632152588555858,0.10405738296497292,0.6884033613445378,2.246415267537945,0.051791186388538676,0.052004964401601426,0.05416666666666667,0.0084985835694051,6.373611111111111,3,14,0.10405738296497292,0.04632152588555858,2.246415267537945,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,halo,,,221,0,30,19.0
448,0.011160714285714286,0.008648332669580054,0.2672686230248307,0.7748906071943729,0.03303893863270198,0.048722199134620094,,,,0,5,0.008648332669580054,0.011160714285714286,0.7748906071943729,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,halo,,,221,0,30,19.0
494,0.008097165991902834,0.014715659403649235,0.6413265306122449,1.8173839363506805,0.00822546441748204,0.00891494246544518,0.01628327733264409,0.0040650406504065045,4.0056862238304465,2,2,0.014715659403649235,0.008097165991902834,1.8173839363506805,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,halo,,,221,0,30,19.0
512,0.01953125,0.09494181701733291,0.6382470119521912,4.861021031287445,0.01953125,0.01953125,0.046079958463136034,0.005940594059405941,7.756793007961233,3,7,0.09494181701733291,0.01953125,4.861021031287445,512,10,1.0,0.16201295781434757,0.1,0.2,0.01,5,3,0.3333333333333333,1.0,77.31333333333333,0.0,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,halo,,,221,0,30,19.0
448,0.011160714285714286,0.02806051381347759,0.6943566591422122,2.514222037687592,0.011340029492631975,0.003906391638148716,,,,0,5,0.02806051381347759,0.011160714285714286,2.514222037687592,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,0,90,120,281,448,0.02491103202846975,0.011160714285714286,1,724,lightgbm,False,0.0,221,0,60,
494,0.008097165991902834,0.00665757102054713,0.27653061224489794,0.8222100210375706,0.02208858456326543,0.07936719923543875,0.004775828460038986,0.0040650406504065045,1.1748538011695906,2,2,0.00665757102054713,0.008097165991902834,0.8222100210375706,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,1,120,150,633,494,0.05845181674565561,0.008097165991902834,6,815,lightgbm,False,0.0,221,0,60,
512,0.01953125,0.06969858325871899,0.6818725099601594,3.568567462846412,0.01886710223273006,0.0031408123198376128,0.025048862828713575,0.005940594059405941,4.216558576166785,3,7,0.06969858325871899,0.01953125,3.568567462846412,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,2,150,180,1005,512,0.05373134328358209,0.01953125,1,942,lightgbm,False,0.0,221,0,60,
448,0.011160714285714286,0.02071522634077281,0.6632054176072235,1.8560842801332436,0.013700734518928037,0.015571797971352438,,,,0,5,0.02071522634077281,0.011160714285714286,1.8560842801332436,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,0,90,120,281,448,0.02491103202846975,0.011160714285714286,1,724,halo,,,221,0,60,19.0
494,0.008097165991902834,0.008054666473128812,0.39846938775510204,0.9947513094314083,0.023689118043904663,0.04217272832085086,0.005775721370961353,0.0040650406504065045,1.4208274572564927,2,2,0.008054666473128812,0.008097165991902834,0.9947513094314083,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,1,120,150,633,494,0.05845181674565561,0.008097165991902834,6,815,halo,,,221,0,60,19.0
512,0.01953125,0.05176886351561659,0.6872509960159363,2.650565811999569,0.019542139424293083,0.01966731080585107,0.01759192789343543,0.005940594059405941,2.9613078620616307,3,7,0.05176886351561659,0.01953125,2.650565811999569,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,2,150,180,1005,512,0.05373134328358209,0.01953125,1,942,halo,,,221,0,60,19.0
512,0.01953125,0.012820039171766428,0.21673306772908366,0.656386005594441,0.020084241431582193,0.01407561008858569,0.004409354561505637,0.005940594059405941,0.7422413511867822,3,7,0.012820039171766428,0.01953125,0.656386005594441,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,0,150,180,282,512,0.024822695035460994,0.01953125,0,1666,lightgbm,False,0.0,221,0,120,
512,0.01953125,0.0164468281131128,0.36812749003984063,0.8420775993913754,0.02225111867019758,0.02509075188021505,0.006538017994329265,0.005940594059405941,1.1005663623787596,3,7,0.0164468281131128,0.01953125,0.8420775993913754,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,0,150,180,282,512,0.024822695035460994,0.01953125,0,1666,halo,,,221,0,120,19.0
