n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,n_monotone
494,0.008097165991902834,0.013273962489618766,0.5928571428571429,1.6393343674679175,0.008317737904935485,0.005899957893090484,0.012273053033922598,0.0040650406504065045,3.019171046344959,2,2,0.013273962489618766,0.008097165991902834,1.6393343674679175,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,lightgbm,False,0.0,221,0,
512,0.01953125,0.04760885927003975,0.6719123505976096,2.437573594626035,0.019317553429180928,0.01375244183341919,0.01627906976744186,0.005940594059405941,2.74031007751938,3,7,0.04760885927003975,0.01953125,2.437573594626035,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,lightgbm,False,0.0,221,0,
367,0.04632152588555858,0.09772865497259065,0.6556302521008404,2.1097891985259274,0.04524509492260949,0.038222084400123195,0.07999878522837707,0.0084985835694051,9.413190395205701,3,14,0.09772865497259065,0.04632152588555858,2.1097891985259274,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,xgboost,False,0.0,221,0,
448,0.011160714285714286,0.011033837608574036,0.40632054176072235,0.9886318497282336,0.014748057882682008,0.021476808145052928,,,,0,5,0.011033837608574036,0.011160714285714286,0.9886318497282336,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,xgboost,False,0.0,221,0,
494,0.008097165991902834,0.014469158355551168,0.6454081632653061,1.7869410569105693,0.008072365621780583,0.004247748239222972,0.012414965986394558,0.0040650406504065045,3.054081632653061,2,2,0.014469158355551168,0.008097165991902834,1.7869410569105693,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,xgboost,False,0.0,221,0,
512,0.01953125,0.04205117518465612,0.697011952191235,2.1530201694543933,0.019482556330120228,0.017733460287885805,0.01401054072809798,0.005940594059405941,2.35844102256316,3,7,0.04205117518465612,0.01953125,2.1530201694543933,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,xgboost,False,0.0,221,0,
367,0.04632152588555858,0.06825532713736479,0.5334453781512605,1.4735120623184046,0.047395006874600194,0.025407528287420142,0.015434583190001145,0.0084985835694051,1.8161359553568013,3,14,0.06825532713736479,0.04632152588555858,1.4735120623184046,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,catboost,False,0.0,221,0,
448,0.011160714285714286,0.011565469438050435,0.44063205417607226,1.036266061649319,0.01647083218044564,0.018002883509126894,,,,0,5,0.011565469438050435,0.011160714285714286,1.036266061649319,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,catboost,False,0.0,221,0,
494,0.008097165991902834,0.009907493340320902,0.44948979591836735,1.2235754275296313,0.008674277893359684,0.0075719466584398525,0.0082837854576985,0.0040650406504065045,2.037811222593831,2,2,0.009907493340320902,0.008097165991902834,1.2235754275296313,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,catboost,False,0.0,221,0,
512,0.01953125,0.036693323643467245,0.5312749003984064,1.878698170545523,0.019570375656875454,0.018395501730359216,0.016862409014539424,0.005940594059405941,2.83850551744747,3,7,0.036693323643467245,0.01953125,1.878698170545523,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,catboost,False,0.0,221,0,
367,0.04632152588555858,0.10405738296497292,0.6884033613445378,2.246415267537945,0.051791186388538676,0.052004964401601426,0.05416666666666667,0.0084985835694051,6.373611111111111,3,14,0.10405738296497292,0.04632152588555858,2.246415267537945,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,halo,,,221,0,19.0
448,0.011160714285714286,0.008648332669580054,0.2672686230248307,0.7748906071943729,0.03303893863270198,0.048722199134620094,,,,0,5,0.008648332669580054,0.011160714285714286,0.7748906071943729,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,halo,,,221,0,19.0
494,0.008097165991902834,0.014715659403649235,0.6413265306122449,1.8173839363506805,0.00822546441748204,0.00891494246544518,0.01628327733264409,0.0040650406504065045,4.0056862238304465,2,2,0.014715659403649235,0.008097165991902834,1.8173839363506805,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,halo,,,221,0,19.0
512,0.01953125,0.09494181701733291,0.6382470119521912,4.861021031287445,0.01953125,0.01953125,0.046079958463136034,0.005940594059405941,7.756793007961233,3,7,0.09494181701733291,0.01953125,4.861021031287445,512,10,1.0,0.16201295781434757,0.1,0.2,0.01,5,3,0.3333333333333333,1.0,77.31333333333333,0.0,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,halo,,,221,0,19.0
