n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,delta_days,n_monotone
2711,0.04869052010328292,0.07786252149313463,0.5880479866520968,1.599131028544606,0.048431297849171454,0.04895614490528533,0.0706210279883606,0.013389441469013007,5.274381918902132,35,97,0.07786252149313463,0.04869052010328292,1.599131028544606,2711,132,1.0,0.04709569783979335,0.030303030303030304,0.14814814814814814,0.01,27,35,0.08571428571428572,0.0,0.0,0.0,0,60,90,2439,2711,0.06068060680606806,0.04869052010328292,1399,0,halo,,,221,0,0,19.0
2770,0.053429602888086646,0.07030840084830262,0.552471808192632,1.3159072320932312,0.0534229829458397,0.05359777682544466,0.06823627221952655,0.01093926820067899,6.237736470826375,29,119,0.07030840084830262,0.053429602888086646,1.3159072320932312,2770,148,1.0,0.02879521153588812,0.02702702702702703,0.14285714285714285,0.01,28,29,0.13793103448275862,0.0,0.0,0.25,1,90,120,5108,2770,0.04757243539545811,0.053429602888086646,1441,0,halo,,,221,0,0,19.0
2838,0.04439746300211417,0.060406231125058316,0.625114131198202,1.3605784439120276,0.04460120289382793,0.04502646993464586,0.03265023927994665,0.009857612267250822,3.312185384732365,27,99,0.060406231125058316,0.04439746300211417,1.3605784439120276,2838,126,1.0,0.0,0.0,0.0,0.01,28,27,0.0,,,,2,120,150,7879,2838,0.051021703261835256,0.04439746300211417,1440,0,halo,,,221,0,0,19.0
2813,0.03590472804834696,0.05757387491563777,0.6459556353865477,1.603517922155337,0.0359817532284306,0.03607401277718575,0.04936511510486752,0.009495982468955442,5.198526352197202,26,75,0.05757387491563777,0.03590472804834696,1.603517922155337,2813,101,1.0,0.06055672786291429,0.0297029702970297,0.10714285714285714,0.01,28,26,0.11538461538461539,0.0,0.0,0.0,3,150,180,10734,2813,0.05170486305198435,0.03590472804834696,1423,0,halo,,,221,0,0,19.0
158,0.04430379746835443,0.10020502348673149,0.7578051087984863,2.2617705301290822,0.04430379746835443,0.04430379746835443,,,,0,7,0.10020502348673149,0.04430379746835443,2.2617705301290822,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,14521,158,0.04696646236485091,0.04430379746835443,449,0,halo,,,221,0,0,19.0
2711,0.04869052010328292,0.07319357611547411,0.5948159375844525,1.5032407943109873,0.048856541970967136,0.0487705799582687,0.04827531086677209,0.013389441469013007,3.6054760744497787,35,97,0.07319357611547411,0.04869052010328292,1.5032407943109873,2711,132,1.0,0.030646125473213225,0.022727272727272728,0.1111111111111111,0.01,27,35,0.08571428571428572,0.0,0.0,0.0,0,60,90,2439,2711,0.06068060680606806,0.04869052010328292,1399,0,halo,,,221,1,0,19.0
2770,0.053429602888086646,0.06656281936943878,0.5369121982394294,1.245804119279361,0.05334756086670605,0.05341737876537665,0.06683973733598103,0.01093926820067899,6.110073919920197,29,119,0.06656281936943878,0.053429602888086646,1.245804119279361,2770,148,1.0,0.02879521153588812,0.02702702702702703,0.14285714285714285,0.01,28,29,0.13793103448275862,0.0,0.0,0.25,1,90,120,5108,2770,0.04757243539545811,0.053429602888086646,1441,0,halo,,,221,1,0,19.0
2838,0.04439746300211417,0.05991431509319092,0.620683499555181,1.3494986209085382,0.04443133376138441,0.04454082512619958,0.03580210372812678,0.009857612267250822,3.6319245226421946,27,99,0.05991431509319092,0.04439746300211417,1.3494986209085382,2838,126,1.0,0.0015328098908450073,0.007936507936507936,0.03571428571428571,0.01,28,27,0.037037037037037035,0.0,0.0,0.0,2,120,150,7879,2838,0.051021703261835256,0.04439746300211417,1440,0,halo,,,221,1,0,19.0
2813,0.03590472804834696,0.05155879808631551,0.6334005081924122,1.4359890991762925,0.036257014371782026,0.03648477143157915,0.03580478819617798,0.009495982468955442,3.770519618505204,26,75,0.05155879808631551,0.03590472804834696,1.4359890991762925,2813,101,1.0,0.03220693280118007,0.019801980198019802,0.07142857142857142,0.01,28,26,0.07692307692307693,0.0,0.0,0.0,3,150,180,10734,2813,0.05170486305198435,0.03590472804834696,1423,0,halo,,,221,1,0,19.0
158,0.04430379746835443,0.10184979259822906,0.717123935666982,2.2988953186457417,0.04430379746835443,0.04430379746835443,,,,0,7,0.10184979259822906,0.04430379746835443,2.2988953186457417,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,14521,158,0.04696646236485091,0.04430379746835443,449,0,halo,,,221,1,0,19.0
2711,0.04869052010328292,0.08583136582861656,0.628852503319351,1.7627941875862083,0.046789789389456896,0.026344995233098682,0.02078817610607641,0.013389441469013007,1.5525797811795352,35,97,0.08583136582861656,0.04869052010328292,1.7627941875862083,2711,132,1.0,0.017193206886880284,0.03787878787878788,0.18518518518518517,0.01,27,35,0.02857142857142857,0.0,0.0,0.0,0,60,90,2307,2711,0.06155179887299523,0.04869052010328292,968,563,lightgbm,False,0.0,221,0,7,
2770,0.053429602888086646,0.08042460181512516,0.5558373018327252,1.5052442366749776,0.05215067025177275,0.04390830425607283,0.045593869622277156,0.01093926820067899,4.1679085644364395,29,119,0.08042460181512516,0.053429602888086646,1.5052442366749776,2770,148,1.0,0.03204325814864498,0.033783783783783786,0.17857142857142858,0.01,28,29,0.06896551724137931,0.0,0.0,0.0,1,90,120,4916,2770,0.04800650935720097,0.053429602888086646,1031,602,lightgbm,False,0.0,221,0,7,
2838,0.04439746300211417,0.09975798163731125,0.7108471461347566,2.2469297768784866,0.04295129311464822,0.0339493712606339,0.030692380573525496,0.009857612267250822,3.113571495958753,27,99,0.09975798163731125,0.04439746300211417,2.2469297768784866,2838,126,1.0,0.011241281444444228,0.023809523809523808,0.10714285714285714,0.01,28,27,0.07407407407407407,0.5,27.77263888888889,0.0,2,120,150,7687,2838,0.050084558345258226,0.04439746300211417,957,675,lightgbm,False,0.0,221,0,7,
2813,0.03590472804834696,0.0788502380279884,0.6948289961739537,2.19609623339338,0.034809365591693966,0.024888141599594172,0.02470147755269268,0.009495982468955442,2.601255597664329,26,75,0.0788502380279884,0.03590472804834696,2.19609623339338,2813,101,1.0,0.024995684844704328,0.0297029702970297,0.10714285714285714,0.01,28,26,0.11538461538461539,2.0,125.13,0.0,3,150,180,10513,2813,0.051460097022733756,0.03590472804834696,931,713,lightgbm,False,0.0,221,0,7,
158,0.04430379746835443,0.2621126859834843,0.8278145695364238,5.916257769341503,0.04210807671217158,0.038549080308329896,,,,0,7,0.2621126859834843,0.04430379746835443,5.916257769341503,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,14028,158,0.04733390362132877,0.04430379746835443,299,643,lightgbm,False,0.0,221,0,7,
2711,0.04869052010328292,0.0845789274973616,0.6071180983937866,1.7370717609496007,0.04701339602312312,0.029609279055738062,0.01874371318890468,0.013389441469013007,1.3998876078799094,35,97,0.0845789274973616,0.04869052010328292,1.7370717609496007,2711,132,1.0,0.02658323577505413,0.03787878787878788,0.18518518518518517,0.01,27,35,0.05714285714285714,1.5,150.94416666666666,0.0,0,60,90,2307,2711,0.06155179887299523,0.04869052010328292,968,563,lightgbm,False,0.0,221,1,7,
2770,0.053429602888086646,0.08127852685928856,0.5661837466757375,1.5212264824339818,0.05228578927034713,0.04522587251494833,0.05902360922640557,0.01093926820067899,5.39557200204142,29,119,0.08127852685928856,0.053429602888086646,1.5212264824339818,2770,148,1.0,0.03135148735573789,0.02702702702702703,0.14285714285714285,0.01,28,29,0.06896551724137931,0.5,12.00763888888889,0.0,1,90,120,4916,2770,0.04800650935720097,0.053429602888086646,1031,602,lightgbm,False,0.0,221,1,7,
2838,0.04439746300211417,0.09352863978409483,0.6842896942454464,2.106621267517945,0.04325214460607173,0.03608489139566033,0.04336073148542924,0.009857612267250822,4.398705316244099,27,99,0.09352863978409483,0.04439746300211417,2.106621267517945,2838,126,1.0,0.029923972523560383,0.03968253968253968,0.17857142857142858,0.01,28,27,0.1111111111111111,0.0,0.0,0.0,2,120,150,7687,2838,0.050084558345258226,0.04439746300211417,957,675,lightgbm,False,0.0,221,1,7,
2813,0.03590472804834696,0.0810842950323648,0.6838254621922369,2.258318038871705,0.03479207496447236,0.02590509496301341,0.03230496853923736,0.009495982468955442,3.401961686939688,26,75,0.0810842950323648,0.03590472804834696,2.258318038871705,2813,101,1.0,0.024995684844704328,0.0297029702970297,0.10714285714285714,0.01,28,26,0.11538461538461539,2.0,125.13,0.0,3,150,180,10513,2813,0.051460097022733756,0.03590472804834696,931,713,lightgbm,False,0.0,221,1,7,
