n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,n_monotone,n_features,seed,ablation
2838,0.04439746300211417,0.11417306346232098,0.6892822025565388,2.5716123341751342,0.04379122698501464,0.04389960494768188,0.03390866356195204,0.009857612267250822,3.439845536895801,27,99,0.11417306346232098,0.04439746300211417,2.5716123341751342,2838,126,1.0,0.032115447024963946,0.05555555555555555,0.25,0.01,28,27,0.1111111111111111,1.0,20.416944444444443,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,15,221,0,no_entity_memory
2813,0.03590472804834696,0.07508433701315606,0.7063107859458513,2.091210297208,0.03603981512646699,0.03625799761415913,0.017482257508740863,0.009495982468955442,1.8410161945743262,26,75,0.07508433701315606,0.03590472804834696,2.091210297208,2813,101,1.0,0.04618471726395469,0.039603960396039604,0.14285714285714285,0.01,28,26,0.11538461538461539,1.0,0.3011111111111111,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,15,221,0,no_entity_memory
158,0.04430379746835443,0.25450606399601466,0.8032166508987701,5.7445654444814735,0.03957708356372534,0.041159298477827136,,,,0,7,0.25450606399601466,0.04430379746835443,5.7445654444814735,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,15,221,0,no_entity_memory
2711,0.04869052010328292,0.07919149068873507,0.6285675678851328,1.6264252367966727,0.05021422942003616,0.05171873690572232,0.017640221537287958,0.013389441469013007,1.317472545670592,35,97,0.07919149068873507,0.04869052010328292,1.6264252367966727,2711,132,1.0,0.011947700022436513,0.015151515151515152,0.07407407407407407,0.01,27,35,0.05714285714285714,1.5,150.94416666666666,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,15,221,1,no_entity_memory
2770,0.053429602888086646,0.11424077579905181,0.6423583194178161,2.1381550605633346,0.05293491922959224,0.05327995359219628,0.05729556012408187,0.01093926820067899,5.2376044789290015,29,119,0.11424077579905181,0.053429602888086646,2.1381550605633346,2770,148,1.0,0.0381480534710725,0.0472972972972973,0.25,0.01,28,29,0.13793103448275862,1.5,196.18680555555557,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,15,221,1,no_entity_memory
2838,0.04439746300211417,0.10463729223950079,0.6861889544411668,2.356830439489708,0.04418867951034733,0.04469579989320941,0.017370195857456958,0.009857612267250822,1.7621098686509113,27,99,0.10463729223950079,0.04439746300211417,2.356830439489708,2838,126,1.0,0.064077447577381,0.03968253968253968,0.17857142857142858,0.01,28,27,0.037037037037037035,0.0,0.0,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,15,221,1,no_entity_memory
2813,0.03590472804834696,0.07545213540365453,0.7098484184701656,2.101454028618616,0.03619485135157948,0.03656465154639416,0.015014532566874073,0.009495982468955442,1.5811457756962004,26,75,0.07545213540365453,0.03590472804834696,2.101454028618616,2813,101,1.0,0.01443685189269727,0.019801980198019802,0.07142857142857142,0.01,28,26,0.11538461538461539,1.0,0.3011111111111111,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,15,221,1,no_entity_memory
158,0.04430379746835443,0.23944252432155658,0.793755912961211,5.404559834686562,0.04430379746835443,0.04430379746835443,,,,0,7,0.23944252432155658,0.04430379746835443,5.404559834686562,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,15,221,1,no_entity_memory
2711,0.04869052010328292,0.0782538349651542,0.623071545231297,1.607167777201008,0.05020024346199311,0.05204661032578497,0.016519951409899196,0.013389441469013007,1.2338043710136142,35,97,0.0782538349651542,0.04869052010328292,1.607167777201008,2711,132,1.0,0.014582712521458345,0.015151515151515152,0.07407407407407407,0.01,27,35,0.0,,,,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,0,221,0,no_monotoneD
2770,0.053429602888086646,0.09462510369305357,0.6274249077452739,1.7710239002010701,0.05313107867229481,0.05314747013057074,0.05430008238899207,0.01093926820067899,4.963776497007516,29,119,0.09462510369305357,0.053429602888086646,1.7710239002010701,2770,148,1.0,0.01592116081401967,0.02027027027027027,0.10714285714285714,0.01,28,29,0.06896551724137931,1.0,105.91916666666667,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,0,221,0,no_monotoneD
2838,0.04439746300211417,0.11551943502177346,0.7003587816640915,2.601937750728516,0.04398286168704975,0.044082010438510295,0.054599659371493324,0.009857612267250822,5.538832111797045,27,99,0.11551943502177346,0.04439746300211417,2.601937750728516,2838,126,1.0,0.03751502373952687,0.03968253968253968,0.17857142857142858,0.01,28,27,0.07407407407407407,0.5,10.208472222222222,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,0,221,0,no_monotoneD
2813,0.03590472804834696,0.07834257946391479,0.7270765793393499,2.1819571884355673,0.03596296288748296,0.03616755651072692,0.01671969335825383,0.009495982468955442,1.7607123236499609,26,75,0.07834257946391479,0.03590472804834696,2.1819571884355673,2813,101,1.0,0.011887547902400706,0.009900990099009901,0.03571428571428571,0.01,28,26,0.038461538461538464,3.0,306.0877777777778,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,0,221,0,no_monotoneD
158,0.04430379746835443,0.2755473098330241,0.8032166508987701,6.219496421945402,0.04430379746835443,0.04430379746835443,,,,0,7,0.2755473098330241,0.04430379746835443,6.219496421945402,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,0,221,0,no_monotoneD
