n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,condition
2813,0.03590472804834696,0.46292933888113985,0.8384627179532113,12.893269606659866,0.023299604860152208,0.019052040958206232,0.05593446766807406,0.009495982468955442,5.890329710584107,26,75,0.08427554016904326,0.03640776699029126,2.3147681699763885,1648,60,0.5858514041948099,0.16278124198988692,0.27722772277227725,1.0,0.01,28,26,0.0,,,,3,150,180,10734,2813,0.04900316750512391,0.03590472804834696,0,0,lightgbm,False,0,221,0,rung2_size_matched
2813,0.03590472804834696,0.06024435485680869,0.6582150471684337,1.677894754576266,0.035573213357272634,0.032274220475210565,0.051336297166947875,0.009495982468955442,5.406106986273203,26,75,0.06024435485680869,0.03590472804834696,1.677894754576266,2813,101,1.0,0.06055672786291429,0.0297029702970297,0.10714285714285714,0.01,28,26,0.11538461538461539,0.0,0.0,0.0,3,150,180,10734,2813,0.05170486305198435,0.03590472804834696,1423,0,lightgbm,False,0,221,0,rung3_entity_disjoint
158,0.04430379746835443,0.9999999999999998,1.0,22.571428571428566,2.7697322374953096e-06,0.0010730365380360412,,,,0,7,,,,0,0,,0.30078561796698344,0.2857142857142857,1.0,0.01,2,0,,,,,4,180,182,14970,158,0.04649298597194389,0.04430379746835443,0,0,lightgbm,False,0,221,0,rung2_full
158,0.04430379746835443,0.9999999999999998,1.0,22.571428571428566,3.0569192348383365e-06,0.0011681265086401695,,,,0,7,,,,0,0,,0.30078561796698344,0.2857142857142857,1.0,0.01,2,0,,,,,4,180,182,14521,158,0.047035328145444526,0.04430379746835443,0,0,lightgbm,False,0,221,0,rung2_size_matched
158,0.04430379746835443,0.09642050496087762,0.7596972563859982,2.1763485405455234,0.04419110860988666,0.043362820681188796,,,,0,7,0.09642050496087762,0.04430379746835443,2.1763485405455234,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,14521,158,0.04696646236485091,0.04430379746835443,449,0,lightgbm,False,0,221,0,rung3_entity_disjoint
2711,0.04869052010328292,0.4413015081326448,0.7541800321947666,9.063396882936365,0.03212673189092051,0.02933039603590995,0.06890356484222482,0.013389441469013007,5.1461119570735905,35,97,0.07466569611638005,0.05291359678499665,1.411087143060195,1493,79,0.550719291774253,0.18311829231245863,0.20454545454545456,1.0,0.01,27,35,0.0,,,,0,60,90,3838,2711,0.049244398124022926,0.04869052010328292,0,0,lightgbm,False,0,221,1,rung2_full
2711,0.04869052010328292,0.09856508730366029,0.6862302748305074,2.0243178157592654,0.046173269184142156,0.025294392493362464,0.02180388535777283,0.013389441469013007,1.6284387521490908,35,97,0.08591324124397644,0.05038529934795495,1.7051251526892734,1687,85,0.6222796016230173,0.04975748243355941,0.045454545454545456,0.2222222222222222,0.01,27,35,0.05714285714285714,1.0,227.17513888888888,0.0,0,60,90,2439,2711,0.053710537105371055,0.04869052010328292,0,0,lightgbm,False,0,221,1,rung2_size_matched
2711,0.04869052010328292,0.08604580027177766,0.6037429353637186,1.7671982161877975,0.04778876414966545,0.0425117516775555,0.0897221597379492,0.013389441469013007,6.700963587285691,35,97,0.08604580027177766,0.04869052010328292,1.7671982161877975,2711,132,1.0,0.030646125473213225,0.022727272727272728,0.1111111111111111,0.01,27,35,0.08571428571428572,0.0,0.0,0.0,0,60,90,2439,2711,0.06068060680606806,0.04869052010328292,1399,0,lightgbm,False,0,221,1,rung3_entity_disjoint
2770,0.053429602888086646,0.5241012320572178,0.7803023274991239,9.809191978368197,0.030674906943915923,0.027925221369597256,0.07720401973160665,0.01093926820067899,7.0575122864996285,29,119,0.06879145747179692,0.04482132041187159,1.534793193053199,1651,74,0.596028880866426,0.1519133327539693,0.1891891891891892,1.0,0.01,28,29,0.0,,,,1,90,120,6549,2770,0.04901511681172698,0.053429602888086646,0,0,lightgbm,False,0,221,1,rung2_full
2770,0.053429602888086646,0.5142572897337246,0.8164285567031562,9.624950625421738,0.03267770917950942,0.026973080193488184,0.07673303343650707,0.01093926820067899,7.014457642764836,29,119,0.09455334007344202,0.04591836734693878,2.0591616282660703,1764,81,0.6368231046931407,0.18082772499401412,0.1891891891891892,1.0,0.01,28,29,0.0,,,,1,90,120,5108,2770,0.050313234142521535,0.053429602888086646,0,0,lightgbm,False,0,221,1,rung2_size_matched
