n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,n_monotone
2711,0.04869052010328292,0.04742177549298832,0.4471400707344872,0.9739426769809951,0.04857805331085078,0.04406217902530005,0.011739305242645274,0.013389441469013007,0.8767583972649927,35,97,0.04742177549298832,0.04869052010328292,0.9739426769809951,2711,132,1.0,0.006661257017195502,0.015151515151515152,0.07407407407407407,0.01,27,35,0.05714285714285714,3.0,275.45444444444445,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,mlp,False,0.0,221,0,
2770,0.053429602888086646,0.10927524114904766,0.6230105964087657,2.045219040424743,0.05106514294352536,0.037476820402646,0.0506363469197217,0.01093926820067899,4.62886054083387,29,119,0.10927524114904766,0.053429602888086646,2.045219040424743,2770,148,1.0,0.06195405927713939,0.04054054054054054,0.21428571428571427,0.01,28,29,0.10344827586206896,0.0,0.0,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,mlp,False,0.0,221,0,
2838,0.04439746300211417,0.09718121105902566,0.6578054033806247,2.1888910871866254,0.041725431481596666,0.011189754565341077,0.02492998873028156,0.009857612267250822,2.5290088567496736,27,99,0.09718121105902566,0.04439746300211417,2.1888910871866254,2838,126,1.0,0.03523273200294717,0.03968253968253968,0.17857142857142858,0.01,28,27,0.1111111111111111,1.0,219.32166666666666,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,mlp,False,0.0,221,0,
2813,0.03590472804834696,0.08810206866177185,0.6994326645053884,2.453773456886774,0.03427278939752268,0.013945355638252128,0.015818678584713603,0.009495982468955442,1.6658285371133017,26,75,0.08810206866177185,0.03590472804834696,2.453773456886774,2813,101,1.0,0.009879370769550446,0.0297029702970297,0.10714285714285714,0.01,28,26,0.11538461538461539,1.0,164.70777777777778,0.3333333333333333,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,mlp,False,0.0,221,0,
158,0.04430379746835443,0.2190701949910562,0.4947965941343425,4.9447272583695545,0.041349147618131576,0.016501487194108076,,,,0,7,0.2190701949910562,0.04430379746835443,4.9447272583695545,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,mlp,False,0.0,221,0,
2711,0.04869052010328292,0.05370859225313834,0.4436092213331453,1.103060557562561,0.04862680712777548,0.04814075154562638,0.04000703790782298,0.013389441469013007,2.9879542026014074,35,97,0.05370859225313834,0.04869052010328292,1.103060557562561,2711,132,1.0,0.016117833114533582,0.022727272727272728,0.1111111111111111,0.01,27,35,0.05714285714285714,0.5,41.07347222222222,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,mlp,False,0.0,221,1,
2770,0.053429602888086646,0.06495132714198859,0.5358041107469026,1.2156430823196513,0.05250003293879094,0.04452077258812495,0.012489691931628974,0.01093926820067899,1.1417301141637384,29,119,0.06495132714198859,0.053429602888086646,1.2156430823196513,2770,148,1.0,0.017645575457086095,0.013513513513513514,0.07142857142857142,0.01,28,29,0.06896551724137931,1.5,126.87861111111111,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,mlp,False,0.0,221,1,
2838,0.04439746300211417,0.10338094794809119,0.6578814908460926,2.328532779973673,0.04202912902767277,0.02175291747265361,0.023329281058163676,0.009857612267250822,2.366625956233715,27,99,0.10338094794809119,0.04439746300211417,2.328532779973673,2838,126,1.0,0.03674545706275804,0.03968253968253968,0.17857142857142858,0.01,28,27,0.1111111111111111,1.0,55.54527777777778,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,mlp,False,0.0,221,1,
2813,0.03590472804834696,0.0925903415805808,0.6722268465784631,2.578778523427463,0.03492366354393365,0.021812141197960436,0.02622025918736538,0.009495982468955442,2.7611949867310157,26,75,0.0925903415805808,0.03590472804834696,2.578778523427463,2813,101,1.0,0.026488662623052665,0.04950495049504951,0.17857142857142858,0.01,28,26,0.11538461538461539,1.0,0.3011111111111111,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,mlp,False,0.0,221,1,
158,0.04430379746835443,0.28137817480707866,0.5884578997161778,6.351107374216919,0.036997746425489614,0.037874301324306116,,,,0,7,0.28137817480707866,0.04430379746835443,6.351107374216919,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,mlp,False,0.0,221,1,
